"biscuit","biscuits au chocolat fourre",0.9,10
"gel nivea","gel de nettoyage masculin ",5.55,30
"pain","un pain ideale pour la croissance",1.3,25
"lait","lait caille Nido",1.1,75
"savon de marseille","savon tout usage",0.5,20
"voiture","voiture patPAtrouille",45,40
"nutella","chocolat a base de cacao et d'huile vegetale",6.99,50
"biscuit","biscuits au chocolat fourre",0.90,10
"gel nivea","gel de nettoyage masculin",5.55,30
"pain","pain complet artisanal",1.30,25
"lait","lait caille Nido",1.10,75
"savon de marseille","savon tout usage",0.50,20
"voiture jouet","voiture patrouille enfant",45.00,40
"nutella","pate a tartiner cacao noisette",6.99,50
"riz","riz long grain 5kg",8.40,60
"sucre","sucre blanc raffine 1kg",1.20,80
"sel","sel fin cuisine",0.60,90
"huile tournesol","huile vegetale 1L",2.80,45
"huile olive","huile olive extra vierge",6.50,35
"farine","farine de ble 1kg",1.10,70
"pates","pates spaghetti 500g",1.30,55
"fromage","fromage emmental",3.40,25
"yaourt","yaourt nature pack 6",2.10,40
"beurre","beurre doux 250g",2.60,30
"cafe","cafe moulu arabica",4.90,20
"the","the vert sachets",3.10,28
"chocolat noir","chocolat noir 70 pourcent",2.20,60
"jus orange","jus d orange 1L",1.80,50
"soda cola","boisson gazeuse cola",1.50,90
"eau minerale","eau minerale 1.5L",0.70,120
"bouteille gaz","gaz domestique 12kg",18.00,15
"detergent","lessive poudre 3kg",7.90,22
"liquide vaisselle","liquide vaisselle citron",1.90,48
"essuie tout","papier essuie tout rouleau",2.40,35
"papier toilette","papier toilette pack 12",4.60,27
"dentifrice","dentifrice blancheur",1.75,44
"brosse dents","brosse a dents souple",1.20,50
"shampooing","shampooing cheveux secs",3.90,26
"apres shampooing","soin capillaire nourrissant",4.20,18
"gel douche","gel douche parfum citron",2.30,32
"creme corps","creme hydratante",5.10,16
"parfum","parfum homme 100ml",29.90,12
"rasoir","rasoir jetable pack 5",3.60,40
"mousse raser","mousse a raser",2.80,22
"serviette","serviette de bain coton",7.50,14
"ampoule led","ampoule LED 9W",3.20,65
"multiprise","multiprise electrique 5 ports",8.90,19
"chargeur usb","chargeur USB universel",6.40,33
"cable usb","cable USB type C",3.10,58
"souris","souris informatique optique",9.50,21
"clavier","clavier AZERTY filaire",14.90,17
"cle usb","cle USB 32GB",7.80,29
"disque dur","disque dur externe 1TB",59.00,11
"casque audio","casque audio stereo",19.90,24
"ecouteurs","ecouteurs filaires",6.60,41
"telecommande","telecommande universelle",10.40,20
"pile aa","pile AA pack 4",3.50,70
"pile aaa","pile AAA pack 4",3.50,68
"lampe torche","lampe torche LED",5.90,26
"balai","balai menage interieur",4.80,23
"serpillere","serpillere microfibre",3.70,31
"seau","seau plastique 10L",4.20,19
"eponge","eponge vaisselle pack 3",1.60,80
"couteau cuisine","couteau inox cuisine",6.90,15
"poele","poele antiadhesive",18.50,13
"casserole","casserole aluminium",16.90,12
"mixeur","mixeur electrique",34.00,9
"grille pain","grille pain 2 fentes",27.00,8
"bouilloire","bouilloire electrique",22.50,10
"micro ondes","four micro ondes",89.00,5
"refrigerateur","refrigerateur 2 portes",399.00,3
"congelateur","congelateur vertical",299.00,4
"ventilateur","ventilateur sur pied",35.00,7
"climatiseur","climatiseur mobile",249.00,2
"table","table salle a manger",120.00,6
"chaise","chaise en bois",35.00,20
"canape","canape 3 places",450.00,2
"lit","lit double bois",280.00,4
"matelas","matelas orthopedique",199.00,5
"oreiller","oreiller ergonomique",18.00,25
"drap","drap housse coton",22.00,18
"couverture","couverture polaire",29.00,14
"rideau","rideau decoratif",34.00,11
"tapis","tapis salon",79.00,6

"biscuit","biscuits au chocolat fourre",0.9,10
"gel nivea","gel de nettoyage masculin ",5.55,30
"pain","un pain ideale pour la croissance",1.3,25
"lait","lait caille Nido",1.1,75
"savon de marseille","savon tout usage",0.5,20
"voiture","voiture pat patrouille",45,40
"nutella","chocolat a base de cacao et d'huile vegetale",6.99,50
